"id","client_id","product_id","product_type","issue_number","issue_month","issue_year","theme","selection_date","mail_date","in_home_date","newsstand_date","active_date","expiry_date","issue_closed","issue_closed_date","supplementary_copies","supplementary_cutoff_date","date_created","last_modified"
"40336","9999","90","Issues","1","MAR","2020","MAR20","2020-02-02","2020-02-16","2020-02-23","2020-03-01","2020-03-01","2020-04-30","1","","1000","","2020-12-03","2023-09-06"
"40337","9999","90","Issues","2","MAR","2021","MAR20","2020-02-02","2020-02-16","2020-02-23","2020-03-01","2020-03-01","2020-04-30","1","","2000","","2020-12-03","2021-10-05"
"40338","9999","90","Issues","3","JUL","2020","JUL20","2020-06-03","2020-06-17","2020-06-24","2020-07-01","2020-07-01","2020-08-31","1","","3000","","2020-12-03","2021-10-05"
"40339","9999","90","Issues","4","MAR","2021","21-Mar","2021-02-01","2021-02-16","2021-02-23","2021-03-03","2021-02-01","2021-03-03","1","","5","","2020-12-03","2021-12-15"
"40340","9999","90","Issues","5","Winter","2021","Winter 2022","2021-10-26","2021-11-12","2021-11-19","2021-11-26","2021-12-02","2021-12-31","0","","0","","2020-12-03","2023-12-15"
"40341","9999","90","Issues","6","January","2022","22-Jan","2021-11-26","2021-12-10","2021-12-17","2021-12-24","2022-01-01","2022-01-31","0","","0","","2020-12-03","2021-12-17"
"40342","9999","90","Issues","7","Spring","2022","Spring 2022","2021-12-31","2022-01-14","2022-01-21","2022-01-28","2022-02-01","2022-02-28","0","","0","","2020-12-03","2021-12-17"
"40343","9999","90","Issues","8","March","2022","22-Mar","2022-01-28","2022-02-11","2022-02-18","2022-02-25","2022-03-01","2022-03-31","0","","0","","2020-12-03","2021-12-17"
"40344","9999","90","Issues","9","April","2022","22-Apr","2022-02-25","2022-03-11","2022-03-18","2022-03-25","2022-04-01","2022-04-30","0","","0","","2020-12-03","2021-12-17"
"40345","9999","90","Issues","10","May","2022","22-May","2022-03-25","2022-04-08","2022-04-15","2022-04-22","2022-05-01","2022-05-31","1","","2","","2020-12-03","2024-11-19"
"40346","9999","90","Issues","11","June","2022","22-Jun","2022-04-22","2022-05-06","2022-05-13","2022-05-20","2022-06-01","2022-06-30","0","","0","","2020-12-03","2021-12-17"
"40347","9999","90","Issues","12","July","2022","22-Jul","2022-05-27","2022-06-10","2022-06-17","2022-06-24","2022-07-01","2022-07-31","0","","0","","2020-12-03","2021-12-17"
"40348","9999","90","Issues","13","August","2022","22-Aug","2022-06-24","2022-07-08","2022-07-15","2022-07-22","2022-08-01","2022-08-31","0","","0","","2020-12-03","2021-12-17"
"40349","9999","90","Issues","14","September","2022","22-Sep","2022-07-29","2022-08-12","2022-08-19","2022-08-26","2022-09-01","2022-09-30","0","","0","","2020-12-03","2021-12-17"
"40350","9999","90","Issues","15","October","2022","22-Oct","2022-08-26","2022-09-09","2022-09-16","2022-09-23","2022-10-01","2022-10-31","0","","0","","2020-12-03","2021-12-17"
"40351","9999","90","Issues","16","November","2022","22-Nov","2022-09-23","2022-10-07","2022-10-14","2022-10-21","2022-11-01","2022-11-30","0","","0","","2020-12-03","2021-12-17"
"40352","9999","90","Issues","17","December","2022","22-Dec","2022-10-21","2022-11-04","2022-11-11","2022-11-18","2022-12-01","2022-12-31","0","","0","","2020-12-03","2021-12-17"
"40353","9999","90","Issues","18","MAR","2024","24-Mar","2024-02-01","2024-02-16","2024-02-23","2024-03-03","2024-02-01","2024-03-03","0","","0","","2020-12-03","2021-12-17"
"40354","9999","90","Issues","19","MAY","2024","24-May","2024-04-01","2024-04-16","2024-04-23","2024-05-03","2024-04-01","2024-05-03","0","","0","","2020-12-03","2021-12-17"
"40355","9999","90","Issues","20","JUL","2024","24-Jul","2024-06-01","2024-06-16","2024-06-23","2024-07-03","2024-06-01","2024-07-03","0","","0","","2020-12-03","2021-12-17"
"40356","9999","90","Issues","21","SEP","2024","24-Sep","2024-08-01","2024-08-16","2024-08-23","2024-09-03","2024-08-01","2024-09-03","1","","0","","2020-12-03","2024-08-26"
"40357","9999","90","Issues","22","NOV","2024","24-Nov","2024-10-01","2024-10-16","2024-10-23","2024-11-03","2024-10-01","2024-11-03","0","","0","","2020-12-03","2021-12-17"
"40358","9999","90","Issues","23","JAN","2025","25-Jan","2024-12-01","2024-12-16","2024-12-23","2025-01-03","2024-12-01","2025-01-03","0","","0","","2020-12-03","2021-12-17"
"40359","9999","90","Issues","24","MAR","2025","25-Mar","2025-02-01","2025-02-16","2025-02-23","2025-03-03","2025-02-01","2025-03-03","0","","0","","2020-12-03","2021-12-17"
"40360","9999","90","Issues","25","MAY","2025","25-May","2025-04-01","2025-04-16","2025-04-23","2025-05-03","2025-04-01","2025-05-03","0","","0","","2020-12-03","2021-12-17"
"40361","9999","90","Issues","26","JUL","2025","25-Jul","2025-06-01","2025-06-16","2025-06-23","2025-07-03","2025-06-01","2025-07-03","0","","0","","2020-12-03","2021-12-17"
"40362","9999","90","Issues","27","SEP","2025","25-Sep","2025-08-01","2025-08-16","2025-08-23","2025-09-03","2025-08-01","2025-09-03","0","","0","","2020-12-03","2021-12-17"
"40363","9999","90","Issues","28","NOV","2025","25-Nov","2025-10-01","2025-10-16","2025-10-23","2025-11-03","2025-10-01","2025-11-03","0","","0","","2020-12-03","2021-12-17"
"40364","9999","90","Issues","29","JAN","2026","26-Jan","2025-12-01","2025-12-16","2025-12-23","2026-01-03","2025-12-01","2026-01-03","0","","0","","2020-12-03","2021-12-17"
"40365","9999","90","Issues","30","MAR","2026","26-Mar","2026-02-01","2026-02-16","2026-02-23","2026-03-03","2026-02-01","2026-03-03","0","","0","","2020-12-03","2021-12-17"
"40366","9999","90","Issues","31","MAY","2026","26-May","2026-04-01","2026-04-16","2026-04-23","2026-05-03","2026-04-01","2026-05-03","0","","0","","2020-12-03","2021-12-17"
"40367","9999","90","Issues","32","JUL","2026","26-Jul","2026-06-01","2026-06-16","2026-06-23","2026-07-03","2026-06-01","2026-07-03","0","","0","","2020-12-03","2021-12-17"
"40368","9999","90","Issues","33","SEP","2026","26-Sep","2026-08-01","2026-08-16","2026-08-23","2026-09-03","2026-08-01","2026-09-03","0","","0","","2020-12-03","2021-12-17"
"40369","9999","90","Issues","34","NOV","2026","26-Nov","2026-10-01","2026-10-16","2026-10-23","2026-11-03","2026-10-01","2026-11-03","0","","0","","2020-12-03","2021-12-17"
"40370","9999","90","Issues","35","JAN","2027","27-Jan","2026-12-01","2026-12-16","2026-12-23","2027-01-03","2026-12-01","2027-01-03","0","","0","","2020-12-03","2021-12-17"
"40371","9999","90","Issues","36","MAR","2027","27-Mar","2027-02-01","2027-02-16","2027-02-23","2027-03-03","2027-02-01","2027-03-03","0","","0","","2020-12-03","2021-12-17"
"40372","9999","90","Issues","37","MAY","2027","27-May","2027-04-01","2027-04-16","2027-04-23","2027-05-03","2027-04-01","2027-05-03","0","","0","","2020-12-03","2021-12-17"
"40373","9999","90","Issues","38","JUL","2027","27-Jul","2027-06-01","2027-06-16","2027-06-23","2027-07-03","2027-06-01","2027-07-03","0","","0","","2020-12-03","2021-12-17"
"40374","9999","90","Issues","39","SEP","2027","27-Sep","2027-08-01","2027-08-16","2027-08-23","2027-09-03","2027-08-01","2027-09-03","0","","0","","2020-12-03","2021-12-17"
"40375","9999","90","Issues","40","NOV","2027","27-Nov","2027-10-01","2027-10-16","2027-10-23","2027-11-03","2027-10-01","2027-11-03","0","","0","","2020-12-03","2021-12-17"
"40376","9999","90","Issues","41","JAN","2028","28-Jan","2027-12-01","2027-12-16","2027-12-23","2028-01-03","2027-12-01","2028-01-03","0","","0","","2020-12-03","2021-12-17"
"40377","9999","90","Issues","42","MAR","2028","28-Mar","2028-02-01","2028-02-16","2028-02-23","2028-03-03","2028-02-01","2028-03-03","0","","0","","2020-12-03","2021-12-17"
"40378","9999","90","Issues","43","MAY","2028","28-May","2028-04-01","2028-04-16","2028-04-23","2028-05-03","2028-04-01","2028-05-03","0","","0","","2020-12-03","2021-12-17"
"40379","9999","90","Issues","44","JUL","2028","28-Jul","2028-06-01","2028-06-16","2028-06-23","2028-07-03","2028-06-01","2028-07-03","0","","0","","2020-12-03","2021-12-17"
"40380","9999","90","Issues","45","SEP","2028","28-Sep","2028-08-01","2028-08-16","2028-08-23","2028-09-03","2028-08-01","2028-09-03","0","","0","","2020-12-03","2021-12-17"
"40381","9999","90","Issues","46","NOV","2028","28-Nov","2028-10-01","2028-10-16","2028-10-23","2028-11-03","2028-10-01","2028-11-03","0","","0","","2020-12-03","2021-12-17"
"40382","9999","90","Issues","47","JAN","2029","29-Jan","2028-12-01","2028-12-16","2028-12-23","2029-01-03","2028-12-01","2029-01-03","0","","0","","2020-12-03","2021-12-17"
"40383","9999","90","Issues","48","MAR","2029","29-Mar","2029-02-01","2029-02-16","2029-02-23","2029-03-03","2029-02-01","2029-03-03","0","","0","","2020-12-03","2021-12-17"
"40384","9999","90","Issues","49","MAY","2029","29-May","2029-04-01","2029-04-16","2029-04-23","2029-05-03","2029-04-01","2029-05-03","0","","0","","2020-12-03","2021-12-17"
"40385","9999","90","Issues","50","JUL","2029","29-Jul","2029-06-01","2029-06-16","2029-06-23","2029-07-03","2029-06-01","2029-07-03","0","","0","","2020-12-03","2021-12-17"
"40386","9999","90","Issues","51","SEP","2029","29-Sep","2029-08-01","2029-08-16","2029-08-23","2029-09-03","2029-08-01","2029-09-03","0","","0","","2020-12-03","2021-12-17"
"40387","9999","90","Issues","52","NOV","2029","29-Nov","2029-10-01","2029-10-16","2029-10-23","2029-11-03","2029-10-01","2029-11-03","0","","0","","2020-12-03","2021-12-17"
"40388","9999","90","Issues","53","JAN","2030","30-Jan","2029-12-01","2029-12-16","2029-12-23","2030-01-03","2029-12-01","2030-01-03","0","","0","","2020-12-03","2021-12-17"
"40389","9999","90","Issues","54","MAR","2030","30-Mar","2030-02-01","2030-02-16","2030-02-23","2030-03-03","2030-02-01","2030-03-03","0","","0","","2020-12-03","2021-12-17"
"40390","9999","90","Issues","55","MAY","2030","30-May","2030-04-01","2030-04-16","2030-04-23","2030-05-03","2030-04-01","2030-05-03","0","","0","","2020-12-03","2021-12-17"
"40391","9999","90","Issues","56","JUL","2030","30-Jul","2030-06-01","2030-06-16","2030-06-23","2030-07-03","2030-06-01","2030-07-03","0","","0","","2020-12-03","2021-12-17"
"40392","9999","90","Issues","57","SEP","2030","30-Sep","2030-08-01","2030-08-16","2030-08-23","2030-09-03","2030-08-01","2030-09-03","0","","0","","2020-12-03","2021-12-17"
"40393","9999","90","Issues","58","NOV","2030","30-Nov","2030-10-01","2030-10-16","2030-10-23","2030-11-03","2030-10-01","2030-11-03","0","","0","","2020-12-03","2021-12-17"
"40394","9999","90","Issues","59","JAN","2031","31-Jan","2030-12-01","2030-12-16","2030-12-23","2031-01-03","2030-12-01","2031-01-03","0","","0","","2020-12-03","2021-12-17"
"40395","9999","90","Issues","60","MAR","2031","31-Mar","2031-02-01","2031-02-16","2031-02-23","2031-03-03","2031-02-01","2031-03-03","0","","0","","2020-12-03","2021-12-17"
"40396","9999","90","Issues","61","MAY","2031","31-May","2031-04-01","2031-04-16","2031-04-23","2031-05-03","2031-04-01","2031-05-03","0","","0","","2020-12-03","2021-12-17"
"40397","9999","90","Issues","62","JUL","2031","31-Jul","2031-06-01","2031-06-16","2031-06-23","2031-07-03","2031-06-01","2031-07-03","0","","0","","2020-12-03","2021-12-17"
"40398","9999","90","Issues","63","SEP","2031","01-Sep","2031-08-01","2031-08-16","2031-08-23","2031-09-03","2031-08-01","2031-09-03","0","","0","","2020-12-03","2021-12-17"
"40399","9999","90","Issues","64","NOV","2031","01-Nov","2031-10-01","2031-10-16","2031-10-23","2031-11-03","2031-10-01","2031-11-03","0","","0","","2020-12-03","2021-12-17"
"40400","9999","90","Issues","65","JAN","2032","01-Jan","2031-12-01","2031-12-16","2031-12-23","2032-01-03","2031-12-01","2032-01-03","0","","0","","2020-12-03","2021-12-17"
"40401","9999","90","Issues","66","MAR","2032","01-Mar","2032-02-01","2032-02-16","2032-02-23","2032-03-03","2032-02-01","2032-03-03","0","","0","","2020-12-03","2021-12-17"
"40402","9999","90","Issues","67","MAY","2032","May-32","2032-04-01","2032-04-16","2032-04-23","2032-05-03","2032-04-01","2032-05-03","0","","0","","2020-12-03","2021-12-17"
"40403","9999","90","Issues","68","JUL","2032","Jul-32","2032-06-01","2032-06-16","2032-06-23","2032-07-03","2032-06-01","2032-07-03","0","","0","","2020-12-03","2021-12-17"
"40404","9999","90","Issues","69","SEP","2032","Sep-32","2032-08-01","2032-08-16","2032-08-23","2032-09-03","2032-08-01","2032-09-03","0","","0","","2020-12-03","2021-12-17"
"40405","9999","90","Issues","70","NOV","2032","Nov-32","2032-10-01","2032-10-16","2032-10-23","2032-11-03","2032-10-01","2032-11-03","0","","0","","2020-12-03","2021-12-17"
